Algorithm,Bias_prc,MAE_mm,R2,slope,time
disalexi,-2.1,158.8367007915357,0.14925647947771248,0.3643548941280905,Annual
eemetric,36.2,208.57309111626523,0.15191706857592754,0.2776365108960805,Annual
ensemble,0.1,154.24716734549065,0.17553976672256957,0.39957897070387216,Annual
geesebal,-44.3,193.51904132870447,0.20022441309066322,0.4678622832374756,Annual
ptjpl,-17.6,160.42867291357751,0.11052941513927288,0.3686374756162222,Annual
sims,55.5,237.03446196725423,0.06546604859606553,0.23439190536612925,Annual
ssebop,0.2,157.7884780350586,0.2120029580179286,0.3920100791606873,Annual
disalexi,-3.7,86.67623664606819,0.4010660058444906,0.8616440483591996,Average
eemetric,33.6,140.09986888491323,0.445576693668174,0.6928296805970973,Average
ensemble,-1.5,84.81087263281441,0.43513330302387787,0.9092128646711294,Average
geesebal,-45.3,168.69025557188883,0.44003666382415463,0.9736293347407465,Average
ptjpl,-19.2,99.03968731151951,0.21471087154210133,0.6786426429543879,Average
sims,52.2,204.40437071949918,0.16307516295921481,0.5428520609613275,Average
ssebop,-1.3,61.825709179357354,0.6063335755169047,1.03806213396186,Average
